GMT,Lat1,Lat2,Lon1,Lon2,Time1,Time2
1656,0,15.9,132,13.5,3,10.9
1658,0,59.7,130,54.5,3,15.2
1700,1,42.7,129,41.2,3,19.3
1702,2,24.8,128,32.8,3,23.1
1704,3,6.3,127,28.6,3,26.8
1706,3,47.2,126,28,3,30.3
1708,4,27.5,125,30.6,3,33.7
1710,5,7.3,124,36.1,3,36.9
1712,5,46.7,123,44,3,40
1714,6,25.6,122,54.1,3,42.9
1716,7,4.3,122,6.2,3,45.8
1718,7,42.5,121,20.1,3,48.5
1720,8,20.5,120,35.6,3,51.1
1722,8,58.2,119,52.6,3,53.6
1724,9,35.6,119,10.9,3,56
1726,10,12.7,118,30.4,3,58.4
1728,10,49.7,117,51,4,0.6
1730,11,26.4,117,12.6,4,2.7
1732,12,2.9,116,35.1,4,4.8
1734,12,39.3,115,58.4,4,6.7
1736,13,15.4,115,22.5,4,8.6
1738,13,51.4,114,47.2,4,10.3
1740,14,27.3,114,12.5,4,12
1742,15,3,113,38.3,4,13.6
1744,15,38.6,113,4.6,4,15.1
1746,16,14,112,31.4,4,16.5
1748,16,49.3,111,58.4,4,17.9
1750,17,24.5,111,25.8,4,19.1
1752,17,59.6,110,53.5,4,20.3
1754,18,34.7,110,21.4,4,21.4
1756,19,9.6,109,49.4,4,22.4
1758,19,44.4,109,17.6,4,23.4
1800,20,19.2,108,45.8,4,24.2
1802,20,53.8,108,14.1,4,25
1804,21,28.5,107,42.4,4,25.7
1806,22,3,107,10.7,4,26.3
1808,22,37.5,106,38.8,4,26.8
1810,23,11.9,106,6.8,4,27.2
1812,23,46.3,105,34.7,4,27.6
1814,24,20.6,105,2.3,4,27.9
1816,24,54.8,104,29.7,4,28.1
1818,25,29.1,103,56.8,4,28.2
1820,26,3.3,103,23.6,4,28.2
1822,26,37.4,102,49.9,4,28.1
1824,27,11.5,102,15.9,4,28
1826,27,45.6,101,41.4,4,27.7
1828,28,19.6,101,6.3,4,27.4
1830,28,53.6,100,30.7,4,27
1832,29,27.6,99,54.5,4,26.5
1834,30,1.5,99,17.5,4,26
1836,30,35.4,98,39.9,4,25.3
1838,31,9.3,98,1.5,4,24.5
1840,31,43.2,97,22.2,4,23.7
1842,32,17,96,42,4,22.7
1844,32,50.8,96,0.8,4,21.7
1846,33,24.6,95,18.6,4,20.6
1848,33,58.3,94,35.2,4,19.4
1850,34,32,93,50.7,4,18
1852,35,5.6,93,4.8,4,16.6
1854,35,39.2,92,17.6,4,15.1
1856,36,12.8,91,28.9,4,13.5
1858,36,46.3,90,38.6,4,11.8
1900,37,19.7,89,46.6,4,10
1902,37,53.1,88,52.8,4,8.1
1904,38,26.3,87,57,4,6.1
1906,38,59.5,86,59.1,4,4
1908,39,32.6,85,58.9,4,1.7
1910,40,5.6,84,56.3,3,59.4
1912,40,38.4,83,51.1,3,56.9
1914,41,11,82,43,3,54.4
1916,41,43.5,81,31.9,3,51.7
1918,42,15.8,80,17.4,3,48.9
1920,42,47.8,78,59.2,3,45.9
1922,43,19.5,77,37,3,42.8
1924,43,50.9,76,10.5,3,39.6
1926,44,21.9,74,39.1,3,36.3
1928,44,52.4,73,2.4,3,32.8
1930,45,22.4,71,19.7,3,29.1
1932,45,51.8,69,30.3,3,25.2
1934,46,20.5,67,33.4,3,21.2
1936,46,48.2,65,27.8,3,17
1938,47,14.8,63,12.1,3,12.5
1940,47,40.1,60,44.7,3,7.7
1942,48,3.7,58,3.1,3,2.7
1944,48,25.1,55,3.9,2,57.2
1946,48,43.7,51,42.4,2,51.3
1948,48,58.2,47,50.4,2,44.8
1950,49,6.6,43,13.1,2,37.3
1952,49,3.9,37,15.7,2,28.2
