Supercell storm simulation, Brian Jewett, Univ. Illinois Atmospheric Sciences

 Time   dBZ2k dBZmx  RHsfc   Rain    P    VortSfc  VortAll VrtDepth   Usfc   Vsfc   Wlow    Wmin    Wmax   Tsfc    TPsfc  Tgrad   Qgr    Qra     Convg
133.00 -28.88 56.42  72.46   0.55   3.98  2339.78  3234.00  7740.93  -1.27  -3.00   0.503  -9.556  42.377 18.735  -5.082  6.301  0.000  0.099   -44.75
134.00  -0.85 59.45  67.94   2.70   3.54  3297.29  3818.93  9630.71   4.57 -20.40   0.737 -14.435  36.518 19.294  -4.523  2.399  0.000  0.061   -66.85
135.00   2.69 56.53  70.85   1.34   3.69  4485.29  4776.70  6065.68  -1.75 -15.07   0.656 -10.649  35.898 18.108  -5.708  3.764  0.000  0.291  -180.13
136.00  27.36 56.38  65.93   2.03   4.04  5078.42  5078.42  8141.88   4.84 -19.45   0.874 -14.098  39.383 17.715  -6.102  4.081  0.000  0.406  -150.51
137.00   0.39 56.47  63.59   1.57   3.08  4797.01  5002.22 11135.74   9.71 -23.83   0.248 -13.585  35.762 18.301  -5.516  2.960  0.000  0.234   -41.54
138.00  -9.70 53.44  65.33   0.08   2.19  4619.42  4968.62  4799.13   5.37  -8.83  -0.515 -14.041  32.748 15.944  -7.872  2.336  0.000  0.095     8.54
139.00   0.71 53.09  68.03   1.14   0.83  4582.02  5503.94  5381.45  -1.73 -16.91   0.050 -15.588  43.742 18.638  -5.178  3.619  0.000  0.046   -47.71
140.00  31.57 55.29  67.07   0.75   0.34  4670.93  5431.70  9725.61  -3.18  -9.99   0.042 -15.796  51.544 18.206  -5.611  1.721  0.000  0.201  -102.73
141.00  42.64 56.21  68.73   3.50  -0.46  5617.38  5617.38  9244.81  -3.04 -15.50   0.598 -11.406  51.192 18.585  -5.231  1.782  0.000  0.186  -131.67
142.00  46.20 56.53  66.65   3.46  -1.55  6303.48  6303.48 11532.74  -1.16 -10.91  -0.099 -11.003  47.549 19.261  -4.555  1.748  0.000  0.393  -122.23
143.00  49.74 58.55  65.53   6.24  -2.17  7311.88  7311.88  4665.20   9.50 -26.02   0.815  -5.738  35.846 19.485  -4.331  3.872  0.000  0.264  -130.66
144.00  55.18 57.92  64.14   5.02  -2.13  7371.87  7371.87  4239.81   8.00 -19.60   0.650  -8.653  28.298 19.591  -4.226  1.913  0.000  0.409  -113.44
145.00  55.35 57.24  62.23   7.34  -1.23  7272.30  7272.30  2799.34  13.06 -26.61   1.146  -6.502  31.506 19.267  -4.550  0.745  0.000  0.624   -70.61
146.00  53.02 58.46  64.58   7.03  -1.04  7440.60  7440.60  2982.61   6.39 -22.58   0.721 -13.131  42.952 18.784  -5.033  0.580  0.000  1.118   -95.50
147.00  52.87 58.73  60.47   6.05   0.57  5835.44  6089.80  2890.42  13.58 -20.84  -0.095 -12.702  58.067 19.104  -4.712  0.453  0.000  1.039    23.90
148.00  52.84 58.49  63.33   5.75   1.35  5213.60  5873.43  3323.13   6.52 -21.22   0.402 -10.575  64.139 18.930  -4.887  0.365  0.000  1.867   -31.39
149.00  54.11 55.79  65.96   5.63   2.72  4099.24  4933.92  3628.92   1.89 -22.23   0.656  -9.270  52.389 18.758  -5.059  0.411  0.000  2.216   -75.33
150.00  53.46 58.80  65.38   4.37   3.08  3740.29  4138.71  3006.64   7.36 -21.91   0.369  -7.574  52.716 18.617  -5.199  0.299  0.000  2.043    -7.00
151.00  32.51 55.57  63.56   2.99   3.57  2731.67  3735.84 11671.00  10.46 -21.40   0.125  -6.127  60.461 18.744  -5.073  0.722  0.000  2.189    31.35
152.00   0.02 54.85  66.04   1.79   3.59  2989.22  3360.16 10646.04   7.31 -16.62   0.144  -3.720  60.214 18.711  -5.106  1.781  0.000  1.617   -26.61
153.00  -4.92 57.93  66.32   0.73   4.33  2717.45  3029.90 11219.65   4.82 -10.77  -0.148  -3.608  56.648 19.010  -4.806  1.258  0.000  0.613   -13.33
154.00  -0.22 56.99  65.80   0.87   4.59  2682.30  3164.90  9746.69   5.14 -14.98   0.190  -3.354  53.990 19.057  -4.760  0.664  0.000  0.505   -78.53
155.00 -11.36 59.10  64.37   0.20   4.13  3139.59  3139.59  9734.45   3.24  -8.82   0.155  -5.119  55.722 17.828  -5.989  4.526  0.000  0.102   -24.40
156.00 -26.46 57.13  64.92   0.22   3.85  3233.29  3420.30  9230.70   1.30 -10.42   0.201  -8.013  55.590 18.542  -5.275  5.238  0.000  0.043    18.29
157.00 -25.89 55.64  65.78   0.23   3.70  3242.64  3452.85  9409.83   0.76  -8.32   0.303 -12.837  52.473 20.079  -3.738  5.633  0.000  0.012     4.32
158.00 -26.47 59.35  66.29   0.23   3.18  3436.01  3673.97  7423.85  -0.18  -4.53   0.331 -14.417  56.631 20.819  -2.997  5.031  0.000  0.007    -3.71
159.00 -23.91 58.15  67.05   0.23   2.72  3598.00  3819.27  7880.57  -0.96   0.38   0.399 -14.090  48.704 20.452  -3.365  3.989  0.000  0.011   -18.84
160.00  -3.05 59.23  66.84   1.28   1.83  3642.72  4348.51  8517.97  -4.42   2.52   0.854  -5.806  50.508 22.150  -1.667  3.940  0.000  0.011   -91.65
161.00  31.49 60.22  68.20   1.28   1.36  3939.42  5232.46  7956.82  -6.01   4.27   0.812  -4.055  49.277 21.195  -2.621  4.465  0.000  0.080  -136.10
162.00  33.35 53.06  67.00  15.98  -0.28  4794.27  5075.07  4608.96  -6.85 -17.31   0.870  -6.788  27.391 22.679  -1.137  5.546  0.000  0.003  -227.91
163.00  45.05 57.21  69.72  20.41  -2.08  6383.31  6383.31  4868.61  -2.10 -30.51   1.806  -6.789  26.022 20.002  -3.814  0.845  0.000  0.550  -251.85
164.00  45.76 54.34  70.35  23.27  -6.41  8832.46  8832.46  4970.75  11.55 -25.97   0.693  -8.514  37.169 18.181  -5.635  0.641  0.000  0.430  -183.26
