Time,F_Scale,Location,County,State,Lat,Lon,Comments
1938,UNK,WRIGHTS,GREENE,IL,39.38,-90.3,SEVERAL VIDEOS OF A TORNADO HITTING A FARM IN WRIGHTS. TIME ESTIMATED FROM RADAR. (LSX)
1947,UNK,3 WNW ATHENSVILLE,GREENE,IL,39.48,-90.24,TORNADO ON THE GROUND WEST NORTHWEST OF ATHENSVILLE. SPOTTER WAS ON EAST SIDE OF ROODHOUSE LOOKING EAST AT IT. (LSX)
2027,UNK,2 N ALEXANDER,MORGAN,IL,39.75,-90.04,EM REPORTED TORNADO. STORM CHASER REPORTED TORNADO CROSSED I-72 NEAR MM 76. DEBRIS AIRBORNE AND FLIPPED A SEMI TRUCK. FUNNEL NOT FULLY CONDENSED. (ILX)
2128,UNK,3 N ROANOKE,WOODFORD,IL,40.84,-89.2,CORRECTION TO TIME. CORRECTS PREVIOUS TORNADO REPORT FROM 3 N ROANOKE. BRIEFLY TOUCHED DOWN. (ILX)
2145,UNK,3 N ROANOKE,WOODFORD,IL,40.84,-89.2,BRIEFLY TOUCHED DOWN. (ILX)
2145,UNK,4 E WASHBURN,WOODFORD,IL,40.92,-89.21,CORRECTION TO TIME. CORRECTS PREVIOUS TORNADO REPORT FROM 4 E WASHBURN. FARM HAS SEVERAL TREE BRANCHES DOWN... GARAGE DAMAGE... AND A BARN KNOCKED DOWN. DAMAGE RELAYED (ILX)
2155,UNK,4 E WASHBURN,WOODFORD,IL,40.92,-89.21,FARM HAS SEVERAL TREE BRANCHES DOWN... GARAGE DAMAGE... AND A BARN KNOCKED DOWN. DAMAGE RELAYED FROM NWS CHICAGO. (ILX)
2210,UNK,6 E GOODENOW,WILL,IL,41.4,-87.53,BASED ON RELAYED INFORMATION... A BRIEF EF-0 TOUCHED DOWN IMMEDIATELY WEST OF STATE LINE RD AND SOUTH OF E BEMES RD WHERE IT CAUSED MINOR TREE DAMAGE. AS IT CROSSED EAS (LOT)
2239,UNK,2 SW EL PASO,WOODFORD,IL,40.72,-89.04,LATE REPORT. AN EF-U TORNADO TOUCHED DOWN IN AN OPEN FIELD AND TRAVELED NORTH-NORTHEAST ACROSS HWY 24. PATH LENGTH WAS 2.5 MILES WITH A PATH WIDTH OF 50 YEARDS. (ILX)
2247,UNK,4 SSW FLORID,PUTNAM,IL,41.18,-89.31,DELAYED REPORT. BRIEF TOUCH DOWN WITH NO VISIBLE DAMAGE. (DVN)
2330,UNK,3 NE TROY GROVE,LA SALLE,IL,41.49,-89.03,LOCATION BASED ON SPOTTER REPORT AND RADAR. SPOTTER REPORTED A BRIEF TOUCHDOWN OF 30 TO 45 SECONDS. (LOT)
