time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-01-19T23:59:53.580Z,34.364,-118.7,10.893,3.15,ml,0,76.7,,0.259,ci,ci3142460,2016-02-13T03:34:40.034Z,"10km ESE of Piru, California",earthquake,,0.49,,20,reviewed,ci,ci
1994-01-19T23:58:34.210Z,42.3255,-121.9866667,-0.363,2,md,5,117,0.03167,0.07,uw,uw10335323,2016-07-24T00:01:54.920Z,"Oregon",earthquake,0.52,0.56,0.06,2,reviewed,uw,uw
1994-01-19T23:57:54.640Z,34.362,-118.69,2.954,2.2,mc,0,108.4,,0.236,ci,ci3142458,2016-02-12T09:37:01.229Z,"11km NNE of Simi Valley, California",earthquake,,0.941,,32,reviewed,ci,ci
1994-01-19T23:57:04.800Z,34.357,-118.478,-0.834,2.09,mc,0,103.9,,0.222,ci,ci3142456,2016-02-12T04:48:02.831Z,"7km SSE of Santa Clarita, California",earthquake,,4.126,,11,reviewed,ci,ci
1994-01-19T23:54:06.740Z,34.186,-118.366,28.441,2.18,mc,0,156.7,0.06639,0.229,ci,ci3142451,2016-02-12T22:28:56.525Z,"2km NNE of North Hollywood, California",earthquake,,4.953,,5,reviewed,ci,ci
1994-01-19T23:50:26.720Z,34.284,-118.502,10.543,2.05,mc,0,97.2,,0.166,ci,ci3142445,2016-02-12T04:48:01.533Z,"1km N of Granada Hills, California",earthquake,,1.211,,25,reviewed,ci,ci
1994-01-19T23:46:53.640Z,34.366,-118.633,11.898,2.16,mc,0,81.8,,0.222,ci,ci3142443,2016-02-12T19:59:27.694Z,"11km SSW of Valencia, California",earthquake,,1.13,,52,reviewed,ci,ci
1994-01-19T23:44:03.630Z,34.37,-118.631,11.682,2.43,ml,0,68.2,,0.222,ci,ci3142435,2016-02-11T23:47:58.409Z,"11km SSW of Valencia, California",earthquake,,0.543,,11,reviewed,ci,ci
1994-01-19T23:40:26.920Z,38.8423333,-122.8253333,1.282,0.87,md,5,128,0.04234,0.01,nc,nc1211683,2016-12-21T21:44:01.555Z,"Northern California",earthquake,0.44,0.9,0.22,6,reviewed,nc,nc
1994-01-19T23:40:11.510Z,34.319,-118.569,4.755,2.16,mc,0,83,,0.225,ci,ci3142428,2016-02-13T03:34:38.572Z,"8km NNE of Chatsworth, California",earthquake,,0.15,,15,reviewed,ci,ci
